x [m],head under wg layer analytical,head above wg layer analytical,head under wg layer modflow,head above wg layer modflow
46.125,0.269764,0.2775,0.269476,0.277389
46.25,0.269724,0.2775,0.269429,0.277389
46.375,0.269684,0.2775,0.269382,0.277389
46.5,0.269645,0.2775,0.269335,0.277389
46.625,0.269605,0.2775,0.269288,0.277388
46.75,0.269566,0.2775,0.269241,0.277388
46.875,0.269528,0.2775,0.269194,0.277388
47,0.269489,0.2775,0.269147,0.277388
47.125,0.269451,0.2775,0.269101,0.277388
47.25,0.269414,0.2775,0.269054,0.277387
47.375,0.269377,0.2775,0.269008,0.277387
47.5,0.26934,0.2775,0.268962,0.277387
47.625,0.269304,0.2775,0.268916,0.277387
47.75,0.269269,0.2775,0.268871,0.277387
47.875,0.269234,0.2775,0.268826,0.277387
48,0.2692,0.2775,0.268782,0.277387
48.125,0.269166,0.2775,0.268738,0.277387
48.25,0.269134,0.2775,0.268695,0.277386
48.375,0.269102,0.2775,0.268653,0.277386
48.5,0.269072,0.2775,0.268612,0.277386
48.625,0.269043,0.2775,0.268572,0.277386
48.75,0.269015,0.2775,0.268534,0.277386
48.875,0.268988,0.2775,0.268498,0.277386
49,0.268964,0.2775,0.268464,0.277386
49.125,0.268941,0.2775,0.268433,0.277386
49.25,0.26892,0.2775,0.268405,0.277386
49.375,0.268902,0.2775,0.26838,0.277386
49.5,0.268886,0.2775,0.268359,0.277386
49.625,0.268874,0.2775,0.268343,0.277386
49.75,0.268864,0.2775,0.268332,0.277386
49.875,0.268859,0.2775,0.268326,0.277386
50,0.268857,0.2775,0,0
