x [m],head under wg layer analytical,head above wg layer analytical,head under wg layer modflow,head above wg layer modflow
39.375,0.272128,0.272217,0.27213,0.272231
39.5,0.272083,0.272173,0.272085,0.272188
39.625,0.272037,0.272129,0.272039,0.272144
39.75,0.271992,0.272086,0.271994,0.272101
39.875,0.271946,0.272042,0.271948,0.272058
40,0.271901,0.271999,0.271903,0.272015
40.125,0.271855,0.271955,0.271857,0.271972
40.25,0.27181,0.271912,0.271812,0.271929
40.375,0.271765,0.271869,0.271767,0.271886
40.5,0.271719,0.271826,0.271721,0.271843
40.625,0.271674,0.271782,0.271676,0.2718
40.75,0.271629,0.27174,0.271631,0.271758
40.875,0.271584,0.271697,0.271586,0.271715
41,0.271539,0.271654,0.271541,0.271673
41.125,0.271494,0.271611,0.271496,0.271631
41.25,0.271449,0.271569,0.271451,0.271588
41.375,0.271404,0.271526,0.271406,0.271546
41.5,0.271359,0.271484,0.271361,0.271504
41.625,0.271314,0.271442,0.271317,0.271463
41.75,0.271269,0.2714,0.271272,0.271421
41.875,0.271225,0.271358,0.271227,0.271379
42,0.27118,0.271316,0.271183,0.271338
42.125,0.271136,0.271274,0.271138,0.271297
42.25,0.271091,0.271233,0.271094,0.271256
42.375,0.271047,0.271191,0.27105,0.271215
42.5,0.271002,0.27115,0.271005,0.271174
42.625,0.270958,0.271109,0.270961,0.271133
42.75,0.270914,0.271068,0.270917,0.271093
42.875,0.27087,0.271027,0.270873,0.271052
43,0.270826,0.270986,0.270829,0.271012
43.125,0.270782,0.270946,0.270785,0.270972
43.25,0.270738,0.270906,0.270741,0.270932
43.375,0.270694,0.270865,0.270698,0.270893
43.5,0.270651,0.270825,0.270654,0.270853
43.625,0.270607,0.270786,0.270611,0.270814
43.75,0.270564,0.270746,0.270567,0.270775
43.875,0.27052,0.270707,0.270524,0.270736
44,0.270477,0.270667,0.270481,0.270697
44.125,0.270434,0.270628,0.270438,0.270659
44.25,0.270391,0.27059,0.270395,0.270621
44.375,0.270348,0.270551,0.270352,0.270583
44.5,0.270306,0.270513,0.270309,0.270545
44.625,0.270263,0.270475,0.270267,0.270508
44.75,0.27022,0.270437,0.270224,0.270471
44.875,0.270178,0.270399,0.270182,0.270434
45,0.270136,0.270362,0.27014,0.270397
45.125,0.270094,0.270325,0.270098,0.270361
45.25,0.270052,0.270288,0.270056,0.270325
45.375,0.27001,0.270252,0.270015,0.27029
45.5,0.269969,0.270216,0.269973,0.270254
45.625,0.269928,0.27018,0.269932,0.270219
45.75,0.269886,0.270145,0.269891,0.270185
45.875,0.269845,0.27011,0.26985,0.270151
46,0.269805,0.270075,0.26981,0.270117
46.125,0.269764,0.270041,0.269769,0.270084
46.25,0.269724,0.270007,0.269729,0.270051
46.375,0.269684,0.269974,0.26969,0.270018
46.5,0.269645,0.269941,0.26965,0.269987
46.625,0.269605,0.269908,0.269611,0.269955
46.75,0.269566,0.269876,0.269572,0.269924
46.875,0.269528,0.269845,0.269534,0.269894
47,0.269489,0.269814,0.269495,0.269864
47.125,0.269451,0.269784,0.269458,0.269836
47.25,0.269414,0.269755,0.26942,0.269807
47.375,0.269377,0.269726,0.269384,0.26978
47.5,0.26934,0.269698,0.269347,0.269753
47.625,0.269304,0.26967,0.269312,0.269727
47.75,0.269269,0.269644,0.269276,0.269702
47.875,0.269234,0.269618,0.269242,0.269677
48,0.2692,0.269594,0.269208,0.269654
48.125,0.269166,0.26957,0.269175,0.269632
48.25,0.269134,0.269547,0.269143,0.26961
48.375,0.269102,0.269526,0.269112,0.26959
48.5,0.269072,0.269505,0.269083,0.269571
48.625,0.269043,0.269486,0.269054,0.269553
48.75,0.269015,0.269468,0.269027,0.269537
48.875,0.268988,0.269452,0.269001,0.269522
49,0.268964,0.269437,0.268977,0.269508
49.125,0.268941,0.269423,0.268955,0.269496
49.25,0.26892,0.269411,0.268936,0.269486
49.375,0.268902,0.269401,0.268919,0.269477
49.5,0.268886,0.269393,0.268905,0.26947
49.625,0.268874,0.269386,0.268894,0.269465
49.75,0.268864,0.269381,0.268886,0.269461
49.875,0.268859,0.269378,0.268882,0.269459
50,0.268857,0.269377,0,0
