"L/H","Q_total_numerical","Q_total_analytical","Q_total_error","Q_vw_numerical","Q_vw_analytical","Q_vw_error","Q_til_numerical","Q_til_analytical","Q_til_error","dil_numerical","dil_analytical","dil_error"
44,0.0102772,0.00949153,7.6446,0.00949825,0.00949153,0.0706858,0.000777091,0.000794534,-2.24472,12.2228,11.946,2.26457
44.5,0.0102939,0.00949144,7.79562,0.00949792,0.00949144,0.06824,0.000794816,0.000812695,-2.24945,11.9498,11.679,2.2667
45,0.0103129,0.00949134,7.96604,0.00949825,0.00949134,0.0727218,0.000812735,0.00083106,-2.25474,11.6868,11.4208,2.27614
45.5,0.0103314,0.00949124,8.13212,0.00949825,0.00949124,0.0737349,0.000830849,0.000849631,-2.2605,11.432,11.171,2.28264
46,0.0103488,0.00949115,8.28776,0.00949792,0.00949115,0.0712891,0.000849158,0.000868406,-2.26674,11.1851,10.9294,2.28621
46.5,0.0103677,0.00949105,8.45598,0.00949825,0.00949105,0.0757708,0.00086766,0.000887387,-2.27368,10.947,10.6955,2.29722
47,0.0103863,0.00949095,8.62062,0.00949825,0.00949095,0.0767838,0.000886353,0.000906574,-2.28132,10.7161,10.469,2.30551
47.5,0.0104049,0.00949086,8.78465,0.00949792,0.00949086,0.074348,0.00090524,0.000925965,-2.28941,10.4922,10.2497,2.31085
48,0.0104244,0.00949076,8.95599,0.00949825,0.00949076,0.0788295,0.000924322,0.000945562,-2.29787,10.2759,10.0372,2.32331
48.5,0.010443,0.00949067,9.11933,0.00949825,0.00949067,0.0798425,0.000943592,0.000965363,-2.30725,10.0661,9.83118,2.33325
49,0.0104626,0.00949057,9.29026,0.00949792,0.00949057,0.0774068,0.00096306,0.00098537,-2.31663,9.86223,9.63147,2.33983
49.5,0.010483,0.00949047,9.46791,0.00949825,0.00949047,0.081898,0.000982713,0.00100558,-2.32719,9.66534,9.43779,2.3543
50,0.0105018,0.00949038,9.63074,0.00949825,0.00949038,0.0829208,0.00100256,0.001026,-2.33818,9.47402,9.24988,2.36578
50.5,0.0105223,0.00949028,9.80827,0.00949793,0.00949028,0.0804949,0.00102261,0.00104662,-2.34813,9.28792,9.06753,2.37291
51,0.0105431,0.00949019,9.98651,0.00949826,0.00949019,0.0849859,0.00104284,0.00106745,-2.36008,9.10808,8.89052,2.38869
51.5,0.0105635,0.00949009,10.1612,0.00949826,0.00949009,0.0860381,0.00106326,0.00108848,-2.37184,8.93311,8.71863,2.40093
52,0.0105837,0.00948999,10.3339,0.00949794,0.00948999,0.0836417,0.00108388,0.00110972,-2.38407,8.7629,8.55169,2.41025
52.5,0.0106049,0.0094899,10.5136,0.00949827,0.0094899,0.0881815,0.00110468,0.00113117,-2.39717,8.59818,8.38949,2.42717
53,0.010626,0.0094898,10.6927,0.00949828,0.0094898,0.0892924,0.00112568,0.00115281,-2.41059,8.43783,8.23186,2.44104
53.5,0.0106469,0.0094897,10.8687,0.00949797,0.0094897,0.0869941,0.00114687,0.00117467,-2.42418,8.28168,8.07863,2.45174
54,0.0106685,0.00948961,11.0501,0.00949832,0.00948961,0.0917198,0.00116824,0.00119673,-2.43826,8.13044,7.92964,2.46976
54.5,0.0106903,0.00948951,11.2327,0.00949837,0.00948951,0.0932519,0.00118981,0.00121899,-2.45274,7.98311,7.78473,2.48504
55,0.010712,0.00948942,11.4128,0.00949821,0.00948942,0.0925504,0.00121156,0.00124146,-2.46798,7.83966,7.64375,2.49886
55.5,0.0107339,0.00948932,11.5947,0.00949819,0.00948932,0.0933771,0.0012335,0.00126413,-2.4832,7.70017,7.50657,2.51414
56,0.0107561,0.00948922,11.7781,0.00949831,0.00948922,0.0956633,0.00125563,0.00128701,-2.49936,7.56457,7.37305,2.53174
56.5,0.0107784,0.00948913,11.9614,0.00949817,0.00948913,0.0952165,0.00127796,0.0013101,-2.5153,7.43232,7.24306,2.54646
57,0.0108008,0.00948903,12.1454,0.00949817,0.00948903,0.0961901,0.00130046,0.00133339,-2.53195,7.30368,7.11647,2.56324
57.5,0.0108236,0.00948893,12.331,0.0094983,0.00948893,0.0985545,0.00132316,0.00135688,-2.54882,7.17849,6.99318,2.58158
58,0.0108463,0.00948884,12.5156,0.00949816,0.00948884,0.0981664,0.00134604,0.00138059,-2.56652,7.05638,6.87305,2.59801
58.5,0.0108694,0.00948874,12.702,0.00949816,0.00948874,0.0991594,0.00136911,0.00140449,-2.58419,6.93747,6.756,2.61575
59,0.0108918,0.00948865,12.8829,0.00949829,0.00948865,0.101563,0.00139237,0.0014286,-2.60251,6.82169,6.64191,2.63549
59.5,0.0109158,0.00948855,13.0754,0.00949816,0.00948855,0.101185,0.00141582,0.00145292,-2.62037,6.7086,6.53068,2.65206
60,0.0109395,0.00948845,13.2645,0.00949816,0.00948845,0.102197,0.00143945,0.00147744,-2.63927,6.59847,6.42223,2.67097
